business_name,immediate_categories,parent_categories,price
7 West Cafe,"Breakfast & Brunch, Bars, Italian","Restaurants,Nightlife",$$
Pho Tien Thanh,Vietnamese,Restaurants,$
House of Gourmet,Chinese,Restaurants,$$
Millie Creperie,"Japanese, Desserts, Creperies","Restaurants,Food",$
Prohibition Gastrohouse - Queen,"American (Traditional), Bars","Restaurants,Nightlife",$$
The Dirty Bird Chicken + Waffles,"Chicken Shop, Waffles, Burgers",Restaurants,$$
Fresh on Spadina,"Vegan, Burgers, Juice Bars & Smoothies","Restaurants,Food",$$
Kekou Gelato,"Ice Cream & Frozen Yogurt, Desserts",Food,$
Marche Muvbox,Salad,Restaurants,$$
Emma's Country Kitchen,"Comfort Food, Breakfast & Brunch, Bakeries","Restaurants,Food",$$
Fresco's Fish & Chips,"Fish & Chips, Sandwiches, Chicken Wings",Restaurants,$$
The Gabardine,"Breakfast & Brunch, Desserts, Diners","Food,Restaurants",$$
Fat Bastard Burrito,Mexican,Restaurants,
Smoque N' Bones,Barbeque,Restaurants,$$
Sushi On Bloor,Sushi Bars,Restaurants,$$
Rodney's Oyster House,Seafood,Restaurants,$$$
Copacabana Brazilian Steak House,"Steakhouses, Brazilian",Restaurants,$$$
Raijin Ramen,"Noodles, Soup, Ramen","Restaurants,Japanese",$$
Planta Yorkville,"Tapas/Small Plates, Cocktail Bars, Pizza","Restaurants,Bars",$$$
Poutini's House of Poutine,"Poutineries, Fast Food",Restaurants,$
Second Cup,Coffee & Tea,Food,$
The Carbon Bar,"American (Traditional), Bars, Barbeque","Restaurants,Nightlife",$$$
Buster's Sea Cove,Seafood,Restaurants,$$
Poke Guys,"Poke, Hawaiian","Restaurants,Food",$$
Tinuno,Filipino,Restaurants,$$
Burrito Bandidos,Mexican,Restaurants,$
Loose Moose,"Canadian (New), Gastropubs, Sports Bars","Restaurants,Bars",$$
Ritz Caribbean Foods,Caribbean,Restaurants,$$
Le Petit Déjeuner,"Breakfast & Brunch, Belgian",Restaurants,$$
Aunties & Uncles,Breakfast & Brunch,Restaurants,$$
Ed's Real Scoop,Ice Cream & Frozen Yogurt,Food,$$
Snakes & Lattes Annex,"Cafes, Bars","Restaurants,Nightlife",$$
Sugar Marmalade,"Desserts, Juice Bars & Smoothies, Taiwanese","Food,Restaurants",$
Ajisen Ramen,Ramen,Japanese,$$
Sassafraz,French,Restaurants,$$$
Auberge du Pommier,French,Restaurants,$$$
Milagro,Mexican,Restaurants,$$
Fahrenheit Coffee,Coffee & Tea,Food,$$
Bellwoods Brewery,"Canadian (New), Breweries","Food,Restaurants",$$
Dineen Coffee,Coffee & Tea,Food,$$
Cafe Crepe,"Breakfast & Brunch, Creperies, Coffee & Tea","Restaurants,Food",$$
Hey Lucy,"Breakfast & Brunch, Pizza",Restaurants,$$
Metro,Grocery,Food,$$
KINKA IZAKAYA NORTH  YORK,"Japanese, Pubs, Tapas/Small Plates","Restaurants,Bars",$$$
Swatow Restaurant,Chinese,Restaurants,$$
C'est What,"Music Venues, Canadian (New), Breweries","Food,Nightlife,Arts & Entertainment,Restaurants",$$
Black Camel,Sandwiches,Restaurants,$
The Burgernator,Burgers,Restaurants,$$
Pablo Cheesetart Canada,Desserts,Food,$$
El Trompo Taco Bar,Mexican,Restaurants,$$
Queen St Warehouse,"Comfort Food, American (Traditional), Bars","Restaurants,Nightlife",$
Rolltation,"Poke, Salad, Sushi Bars","Restaurants,Food",$$
Hothouse,"Venues & Event Spaces, Bars, Italian","Restaurants,Nightlife,Event Planning & Services",$$
Dragon Pearl Buffet,"Chinese, Buffets",Restaurants,$$
Sunny Morning,Breakfast & Brunch,Restaurants,$$
Hair of the Dog,"Comfort Food, Breakfast & Brunch, Pubs","Restaurants,Bars",$$
Yasu,"Japanese, Sushi Bars",Restaurants,$$$$
Porter Airlines,Airlines,Transportation,
The 3 Brewers,"Pubs, Breweries","Food,Bars",$$
Pizzeria Via Mercanti,"Pizza, Italian",Restaurants,$$
O.Noir,Canadian (New),Restaurants,$$$
416 Snack Bar,"Tapas/Small Plates, Bars","Restaurants,Nightlife",$$
Chatime - Dundas,Coffee & Tea,Food,$$
Rooster Coffee House,Coffee & Tea,Food,$$
El Furniture Warehouse - Bloor St,"Comfort Food, American (Traditional), Bars","Restaurants,Nightlife",$
Parlour Salon,"Makeup Artists, Hair Salons",Beauty & Spas,$$
BarChef,"Cocktail Bars, Lounges",Bars,$$$
Aji Sai Japanese Restaurant,Japanese,Restaurants,$$
Fresh On Bloor,"Vegan, Salad, Juice Bars & Smoothies","Restaurants,Food",$$
Pizzeria Libretto Danforth,"Pizza, Italian",Restaurants,$$
Steam Whistle Brewing,Breweries,Food,$$
Rogers Centre,Stadiums & Arenas,Arts & Entertainment,
W Burger Bar,"Breakfast & Brunch, Burgers, Bars","Restaurants,Nightlife",$$
DonDon Izakaya,"Tapas Bars, Japanese",Restaurants,$$
Good Fork,Canadian (New),Restaurants,$$
Rasta Pasta,Caribbean,Restaurants,$
The Keg Steakhouse + Bar - Mansion,"Steakhouses, Seafood, Bars","Restaurants,Nightlife",$$$
Kingyo,"Japanese, Tapas/Small Plates",Restaurants,$$
Dolce Gelato,"Ice Cream & Frozen Yogurt, Desserts, Coffee & Tea",Food,$$
Wanda's Pie In The Sky,"Desserts, Coffee & Tea, Bakeries",Food,$$
Smith Bros.,"Steakhouses, Bars","Restaurants,Nightlife",$$
Spring Sushi,"Thai, Japanese, Asian Fusion",Restaurants,$$
Trattoria Nervosa,"Salad, Pizza, Italian",Restaurants,$$
Enoteca Sociale,Italian,Restaurants,$$$
The Pie Commission,"Canadian (New), Do-It-Yourself Food, Fast Food","Restaurants,Food",$
The Old Spaghetti Factory,Italian,Restaurants,$$
Lamesa Filipino Kitchen,Filipino,Restaurants,$$
Bonjour Brioche,"Breakfast & Brunch, French",Restaurants,$$
Pizza Pizza,"Pizza, Italian, Chicken Wings",Restaurants,
Bakerbots Baking,"Ice Cream & Frozen Yogurt, Desserts, Bakeries",Food,$
Pho Rua Vang Golden Turtle,Vietnamese,Restaurants,$$
Seor Ak San,Korean,Restaurants,$
Estiatorio VOLOS,"Greek, Mediterranean, Seafood",Restaurants,$$$
Makkal Chon,Korean,Restaurants,$$
Burger's Priest,Burgers,Restaurants,$$
Royal Ontario Museum,Museums,Arts & Entertainment,
O&B Canteen,"Comfort Food, Breakfast & Brunch, Sandwiches",Restaurants,$$
Loaded Pierogi,"American (Traditional), Bars","Restaurants,Nightlife",$$
The House On Parliament,"British, Gastropubs",Restaurants,$$
Lee Chen Asian Bistro,"Dim Sum, Asian Fusion","Restaurants,Chinese",$$
Kupfert & Kim,"Vegan, Vegetarian, Gluten-Free",Restaurants,$$
Wahlburgers,"Burgers, American (Traditional)",Restaurants,$$
Korean Village Restaurant,Korean,Restaurants,$$
Popeyes Louisiana Kitchen,"Fast Food, Chicken Wings",Restaurants,$$
Copacabana Brazilian Steakhouse,"Steakhouses, Brazilian",Restaurants,$$$
Cacao 70,"Breakfast & Brunch, Chocolatiers & Shops","Restaurants,Specialty Food",$$
Passport Photo,Photography Stores & Services,Shopping,$
Playa Cabana Cantina,Mexican,Restaurants,$$
Pantheon Restaurant,"Greek, Mediterranean",Restaurants,$$
Chris Jerk Caribbean Bistro,Caribbean,Restaurants,$$
Urban Herbivore,"Vegan, Soup, Juice Bars & Smoothies","Restaurants,Food",$$
Tacos El Asador,"Mexican, Latin American",Restaurants,$
Thompson Diner,"Breakfast & Brunch, Canadian (New)",Restaurants,$$
Nota Bene,"Wine Bars, Canadian (New), Diners","Restaurants,Bars",$$$
CASA manila Restaurant,Filipino,Restaurants,$$
Baretto Caffe,"Cafes, Italian",Restaurants,$
The Burger Cellar,"Burgers, Bars","Restaurants,Nightlife",$$
Odd Seoul,"Korean, Asian Fusion, Dive Bars","Restaurants,Bars",$$
Balzac's Distillery District,"Coffee Roasteries, Venues & Event Spaces, Coffee & Tea","Food,Event Planning & Services",$$
Ryus Noodle Bar,Ramen,Japanese,$$
iHalo Krunch,Ice Cream & Frozen Yogurt,Food,$$
Boxcar Social,"Wine Bars, Coffee & Tea","Food,Bars",$
Queen Mother Cafe,"Thai, Asian Fusion",Restaurants,$$
La Vecchia Ristorante,"Venues & Event Spaces, Seafood, Italian","Restaurants,Event Planning & Services",$$
Han Ba Tang,"Korean, Bars","Restaurants,Nightlife",$$
Congee Queen,Chinese,Restaurants,$$
Marben,"Canadian (New), Gastropubs",Restaurants,$$$
CF Toronto Eaton Centre,Shopping Centers,Shopping,$$
Gandhi Cuisine,Indian,Restaurants,$$
STACK,Barbeque,Restaurants,$$
Casa Loma,Museums,Arts & Entertainment,
Zakkushi On Carlton,Japanese,Restaurants,$$$
DAVIDsTEA,Tea Rooms,Food,
Fring's,"Comfort Food, Asian Fusion",Restaurants,$$$$
Electric Mud BBQ,"Sandwiches, Barbeque",Restaurants,$$
Woodlot Restaurant,"Comfort Food, Canadian (New), Vegetarian",Restaurants,$$$
Descendant Detroit Style Pizza,Pizza,Restaurants,$$
Sud Forno,"Italian, Coffee & Tea, Bakeries","Food,Restaurants",$$
Old School,"Breakfast & Brunch, American (Traditional)",Restaurants,$$
Tofu Village - House of Soon Tofu,Korean,Restaurants,$$
Scaramouche Restaurant Pasta Bar & Grill,"French, Bars","Restaurants,Nightlife",$$$$
Hibiscus,"Vegan, Vegetarian, Gluten-Free",Restaurants,$$
Mengrai Thai,"Thai, Noodles",Restaurants,$$
Maya Hair Salon,Hair Salons,Beauty & Spas,$
Sansotei,Ramen,Japanese,$$
Spice Route Asian Bistro + Bar,"Bars, Asian Fusion","Restaurants,Nightlife",$$$
Wish,"Breakfast & Brunch, Canadian (New), Lounges","Restaurants,Bars",$$
Local Liberty Village,"Breakfast & Brunch, Sports Bars","Restaurants,Bars",$$
Dark Horse Espresso,Coffee & Tea,Food,$$
Hot-Star,"Fast Food, Taiwanese, Chicken Wings",Restaurants,$$
Cora,Breakfast & Brunch,Restaurants,$$
Crown Princess Fine Dining,Dim Sum,Chinese,$$
Kyoto House Japanese Restaurant,Japanese,Restaurants,$$
Prairie Girl Bakery,"Custom Cakes, Bakeries",Food,$$
Portland Variety,"Tapas/Small Plates, Cafes, Bakeries","Food,Restaurants",$$
Magic Oven,Pizza,Restaurants,$$
Mean Bao,Chinese,Restaurants,$
Arepa Café,"Salad, Venezuelan, Desserts","Food,Restaurants,Latin American",$$
Eva's Original Chimneys,"Ice Cream & Frozen Yogurt, Desserts, Bakeries",Food,$$
Weslodge Bar & Grill,"Canadian (New), Cocktail Bars","Restaurants,Bars",$$$
Williams Landing Bar Grill Hub Restaurant,"Comfort Food, Canadian (New), Bars","Restaurants,Nightlife",$$
Utopia Café & Grill,"Tex-Mex, Burgers",Restaurants,$$
CoCo Fresh Tea & Juice,"Bubble Tea, Juice Bars & Smoothies",Food,$
Cluck Clucks,"Comfort Food, Chicken Shop, Sandwiches",Restaurants,$$
Kensington Market,"Farmers Market, Local Flavor, Used, Vintage & Consignment","Food,Fashion",$$
Nando's Flame Grilled Chicken,"South African, Portuguese","Restaurants,African",$$
JOEY Yorkdale,"Canadian (New), Lounges","Restaurants,Bars",$$
Mystic Muffin,"Coffee & Tea, Middle Eastern, Sandwiches","Restaurants,Food",$
Five Guys,"Burgers, Fast Food",Restaurants,$$
The Sultan's Tent & Cafe Moroc,"Breakfast & Brunch, Mediterranean, Moroccan",Restaurants,$$$
Bar Buca,"Breakfast & Brunch, Italian, Bars","Restaurants,Nightlife",$$
Elephant & Castle,"British, Pubs","Restaurants,Bars",$$
Wayne Gretzky's,"American (Traditional), Sports Bars","Restaurants,Bars",$$
La Palette,"French, Desserts, Bars","Restaurants,Nightlife,Food",$$$
Barberian's Steak House,Steakhouses,Restaurants,$$$
Mexico Lindo,Mexican,Restaurants,$$
Alo Restaurant,"French, Bars","Restaurants,Nightlife",$$$$
Indie Ale House,"Gastropubs, Pizza, Breweries","Food,Restaurants",$$
North of Brooklyn Pizzeria,Pizza,Restaurants,$
Sidecar,"Modern European, Canadian (New)",Restaurants,$$$
Le Gourmand,"Breakfast & Brunch, Cafes, Coffee & Tea","Food,Restaurants",$$
Bobbette & Belle,Bakeries,Food,$$
Tokyo Sushi,"Japanese, Sushi Bars",Restaurants,$$
Ruby Watchco,Canadian (New),Restaurants,$$$
Okonomi House Restaurant,Japanese,Restaurants,$
George,"Canadian (New), Cocktail Bars","Restaurants,Bars",$$$$
LCBO,"Beer, Wine & Spirits",Food,$$
Kimchi Korea House,Korean,Restaurants,$$
Bar Volo,Beer Bar,Bars,
Moxie's Grill & Bar,"Cocktail Bars, Lounges, American (Traditional)","Restaurants,Bars",$$
Fugo Desserts,"Ice Cream & Frozen Yogurt, Donuts",Food,$
Kub Khao Thai Eatery,Thai,Restaurants,$$
The Friendly Thai,Thai,Restaurants,$$
Patois Toronto,"Chinese, Caribbean, Asian Fusion",Restaurants,$$
Dim Sum King Seafood Restaurant,Dim Sum,Chinese,$$
Café Boulud,"French, Cafes, Desserts","Restaurants,Food",$$$$
MoRoCo Chocolat,Chocolatiers & Shops,Specialty Food,$$$
New Generation Sushi,"Japanese, Sushi Bars",Restaurants,$$
Ni Ji Sushi,"Japanese, Sushi Bars",Restaurants,$$
The Keg Steakhouse + Bar,"Steakhouses, Seafood, Bars","Restaurants,Nightlife",$$$
Hemingway's Restaurant,"American (Traditional), Bars","Restaurants,Nightlife",$$
Doomie's Toronto,"Vegan, Vegetarian",Restaurants,$$
Early Bird Coffee & Kitchen,"Breakfast & Brunch, Coffee & Tea","Food,Restaurants",$$
Chako,"Sushi Bars, Korean, Asian Fusion",Restaurants,$$
Café Polonez,Polish,Restaurants,$$
Basil Box,"Thai, Vietnamese, Gluten-Free",Restaurants,$$
El Caballito,"Mexican, Bars","Restaurants,Nightlife",$$
Farmhouse Tavern,Canadian (New),Restaurants,$$
Mr.Tonkatsu,"Japanese, Korean",Restaurants,$$
Against the Grain,Canadian (New),Restaurants,$$
The County General,"Canadian (New), Breakfast & Brunch, Bars","Restaurants,Nightlife",$$
Tibet Kitchen,Himalayan/Nepalese,Restaurants,$$
Bar Raval,"Spanish, Tapas/Small Plates, Cocktail Bars","Restaurants,Bars",$$$
Canyon Creek,"Steakhouses, Seafood",Restaurants,$$
Happy Lamb Hot Pot,"Hot Pot, Mongolian, Chinese",Restaurants,$$
EAT BKK Thai Kitchen,"Thai, Noodles",Restaurants,$$
Otto's Berlin Döner,"Sandwiches, Bars, German","Restaurants,Nightlife",$$
The Halal Guys,"Halal, Middle Eastern",Restaurants,$$
Fresh Off The Boat,"Fish & Chips, Seafood, Sandwiches",Restaurants,$$
Pure Spirits Oyster House & Grill,Seafood,Restaurants,$$$
The Elm Tree Restaurant,"Modern European, Mediterranean",Restaurants,$$
Duff's Famous Wings,Chicken Wings,Restaurants,$$
Petit Potato,"Japanese, Taiwanese",Restaurants,$$
Fushimi,"Japanese, Sushi Bars",Restaurants,$$
Rasa,"Canadian (New), Tapas/Small Plates",Restaurants,$$
Tabule Restaurant,"Vegan, Middle Eastern, Vegetarian",Restaurants,$$
Canadian Tire,Department Stores,"Fashion,Shopping",$$
Yorkdale Shopping Centre,Shopping Centers,Shopping,$$$
Jules Bistro,French,Restaurants,$$
Origination,Chinese,Restaurants,$$
Le Cafe Michi,"Japanese, Sushi Bars",Restaurants,$$
Glory Hole Doughnuts,Donuts,Food,$$
Hakata Shoryuken,Ramen,Japanese,$$
Barrio Coreano,"Mexican, Korean",Restaurants,$$
DaiLo,"Chinese, Asian Fusion",Restaurants,$$$
R&D Restaurant,"Chinese, Asian Fusion",Restaurants,$$$
Drake One Fifty,"Breakfast & Brunch, Cocktail Bars, American (Traditional)","Restaurants,Bars",$$$
Mymy Chicken,"Korean, Chicken Wings",Restaurants,$$
California Sandwiches,Sandwiches,Restaurants,$
BMV Books,"Bookstores, Music & DVDs","Books, Mags, Music & Video",$
Angus Pho House,"Vietnamese, Asian Fusion",Restaurants,$
Vegetarian Haven,"Vegan, Vegetarian",Restaurants,$$
Pho Vietnam,Vietnamese,Restaurants,$$
Bake Code  - North York,Bakeries,Food,$$
Brassaii,"Wine Bars, Cocktail Bars, Mediterranean","Restaurants,Bars",$$$
Yummy Yummy Dumplings,"Soup, Chinese, Dumplings",Restaurants,$$
White Brick Kitchen,"Comfort Food, Breakfast & Brunch",Restaurants,$$
Sam James Coffee Bar,Coffee & Tea,Food,$
Toronto Zoo,Zoos,Active Life,
Queen Margherita Pizza,Pizza,Restaurants,$$
The Works Gourmet Burger Bistro,Burgers,Restaurants,$$
Indian Roti House,Indian,Restaurants,$$
Arctic Bites,Ice Cream & Frozen Yogurt,Food,$
Karine's,Breakfast & Brunch,Restaurants,$
Whole Foods Market,"Organic Stores, Grocery, Health Markets","Food,Specialty Food",$$$
Wildfire Steakhouse & Wine Bar,"Wine Bars, Steakhouses","Restaurants,Bars",$$$
Luma,"Canadian (New), Lounges","Restaurants,Bars",$$$
Nazareth Bar,"Ethiopian, Bars","Restaurants,Nightlife",$
Johnny's Hamburgers,Burgers,Restaurants,$
Moon Bean Coffee Company,"Coffee Roasteries, Coffee & Tea",Food,$
Campagnolo,"Tapas/Small Plates, Italian",Restaurants,$$$
Fairmont Royal York,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Gyugyuya,"Japanese, Fast Food",Restaurants,$$
North Poke,"Poke, Hawaiian","Restaurants,Food",$
Sharetea,"Juice Bars & Smoothies, Bubble Tea, Coffee & Tea",Food,$
Union,"Wine Bars, French","Restaurants,Bars",$$$
Homemade Ramen,"Noodles, Chinese, Ramen","Restaurants,Japanese",$$
Kit Kat Italian Bar & Grill,"Mediterranean, Italian",Restaurants,$$
Museum Tavern,American (Traditional),Restaurants,$$
Lisa Marie,"Canadian (New), Breakfast & Brunch, Bars","Restaurants,Nightlife",$$
Future Bistro,"Breakfast & Brunch, Sandwiches",Restaurants,$
Subway,"Sandwiches, Fast Food",Restaurants,
Harbour 60,"Steakhouses, Seafood",Restaurants,$$$$
Elmwood Spa,"Nail Salons, Skin Care, Day Spas",Beauty & Spas,$$$
